======================================================================================================
    Date     Time  Temp SpCond   Cond    Sal   Press   Depth    pH      pH     Orp   Chl   Chl Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm    ppt    psia    feet            mV      mV  ug/L   RFU   volts
------------------------------------------------------------------------------------------------------
10/04/19 08:05:31 17.50  0.472    404   0.23  15.916   3.417  7.87   -68.6   138.4   5.9   1.4    13.2
10/04/19 08:35:31 17.48  0.472    404   0.23  15.924   3.436  7.87   -68.5   139.6   5.4   1.3    13.2
10/04/19 09:05:31 17.42  0.471    403   0.23  15.931   3.453  7.89   -69.3   133.9   8.1   1.9    13.3
10/04/19 09:35:31 17.36  0.472    403   0.23  15.939   3.472  7.88   -68.7   138.3   8.8   2.1    13.2
10/04/19 10:05:31 17.35  0.472    403   0.23  15.945   3.485  7.87   -68.5   139.6   8.3   2.0    13.2
10/04/19 10:35:31 17.27  0.472    402   0.23  15.953   3.504  7.89   -69.5   133.4   8.2   2.0    13.2
10/04/19 11:05:31 17.26  0.472    402   0.23  15.957   3.513  7.87   -68.5   139.1   6.6   1.6    13.3
10/04/19 11:35:31 17.24  0.472    402   0.23  15.964   3.530  7.88   -68.7   139.1   9.3   2.2    13.2
10/04/19 12:05:31 17.22  0.472    401   0.23  15.970   3.543  7.90   -69.9   133.2   8.5   2.0    13.3
10/04/19 12:35:31 17.21  0.472    401   0.23  15.974   3.551  7.89   -69.3   138.2   6.7   1.6    13.2
10/04/19 13:05:31 17.17  0.472    401   0.23  15.978   3.561  7.90   -69.8   137.5   7.7   1.8    13.3
10/04/19 13:35:31 17.18  0.472    401   0.23  15.979   3.563  7.90   -69.9   138.0   7.8   1.8    13.2
10/04/19 14:05:31 17.17  0.472    401   0.23  15.983   3.574  7.92   -71.0   132.4   9.3   2.2    13.3
10/04/19 14:35:31 17.16  0.472    401   0.23  15.985   3.576  7.91   -70.2   137.3   6.7   1.6    13.2
10/04/19 15:05:31 17.14  0.472    401   0.23  15.987   3.582  7.91   -70.5   137.3   9.1   2.1    13.3
10/04/19 15:35:31 17.11  0.472    401   0.23  15.990   3.589  7.91   -70.3   137.1   8.5   2.0    13.2
10/04/19 16:05:31 17.10  0.472    401   0.23  15.990   3.589  7.91   -70.3   137.1   8.9   2.1    13.2
10/04/19 16:35:31 17.08  0.472    400   0.23  15.995   3.600  7.92   -70.9   137.6   7.2   1.7    13.3
10/04/19 17:05:31 17.07  0.472    400   0.23  16.000   3.612  7.92   -71.0   137.0   7.5   1.8    13.3
10/04/19 17:35:31 17.04  0.472    400   0.23  16.001   3.614  7.92   -71.1   138.1  10.3   2.4    13.2
10/04/19 18:05:31 17.01  0.472    400   0.23  16.004   3.622  7.92   -71.0   138.1  11.3   2.7    13.2
10/04/19 18:35:31 16.99  0.472    400   0.23  16.009   3.632  7.93   -71.2   136.4   8.2   1.9    13.2
10/04/19 19:05:31 16.94  0.472    399   0.23  16.010   3.636  7.92   -70.8   137.9   6.8   1.6    13.3
10/04/19 19:35:31 16.92  0.472    399   0.23  16.016   3.649  7.92   -71.0   136.6   8.2   1.9    13.2
10/04/19 20:05:31 16.88  0.472    399   0.23  16.019   3.656  7.91   -70.5   138.6   7.1   1.7    13.3
10/04/19 20:35:31 16.85  0.472    398   0.23  16.021   3.662  7.92   -70.6   136.9   8.4   2.0    13.3
10/04/19 21:05:31 16.82  0.472    398   0.23  16.025   3.671  7.91   -70.6   137.9   8.8   2.1    13.2
10/04/19 21:35:31 16.79  0.472    398   0.23  16.029   3.678  7.91   -70.4   138.2  12.3   2.9    13.3
10/04/19 22:05:31 16.77  0.472    398   0.23  16.034   3.691  7.92   -71.0   131.5  10.0   2.4    13.2
10/04/19 22:35:31 16.74  0.472    397   0.23  16.039   3.702  7.91   -70.1   137.6   8.6   2.0    13.3
10/04/19 23:05:31 16.71  0.472    397   0.23  16.044   3.715  7.90   -69.6   137.6   8.0   1.9    13.2
10/04/19 23:35:31 16.68  0.472    397   0.23  16.049   3.726  7.90   -69.8   137.1   9.7   2.3    13.2
10/05/19 00:05:31 16.64  0.472    397   0.23  16.054   3.737  7.90   -69.6   138.4   7.4   1.8    13.2
10/05/19 00:35:31 16.60  0.472    396   0.23  16.057   3.743  7.90   -69.8   135.5   7.7   1.8    13.2
10/05/19 01:05:31 16.58  0.472    396   0.23  16.057   3.744  7.89   -69.3   138.3   7.0   1.7    13.2
10/05/19 01:35:31 16.54  0.472    396   0.23  16.058   3.745  7.89   -69.4   138.2  12.2   2.9    13.2
10/05/19 02:05:31 16.51  0.472    396   0.23  16.060   3.750  7.91   -70.1   131.4   6.8   1.6    13.2
10/05/19 02:35:31 16.47  0.472    395   0.23  16.061   3.754  7.89   -69.2   137.6   7.6   1.8    13.2
10/05/19 03:05:31 16.44  0.472    395   0.23  16.060   3.751  7.88   -68.9   137.9   8.0   1.9    13.3
10/05/19 03:35:31 16.39  0.472    395   0.23  16.061   3.753  7.90   -69.7   131.7   6.8   1.6    13.3
